Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
Male,0,Yes,No,12,850,10200,Month-to-month,UPI,Yes
Female,0,No,No,45,1200,54000,One year,Credit Card,No
Male,1,Yes,Yes,60,1500,90000,Two year,Bank Transfer,No
Female,0,No,Yes,8,950,7600,Month-to-month,Debit Card,Yes
Male,0,Yes,No,24,1100,26400,One year,UPI,No
Female,1,No,No,6,1300,7800,Month-to-month,Credit Card,Yes
Male,0,Yes,Yes,36,900,32400,Two year,Bank Transfer,No
Female,0,No,No,15,700,10500,Month-to-month,UPI,Yes
Male,1,Yes,No,48,1400,67200,One year,Debit Card,No
Female,0,Yes,Yes,72,1800,129600,Two year,Credit Card,No
Male,0,No,No,5,600,3000,Month-to-month,UPI,Yes
Female,1,Yes,No,30,1250,37500,One year,Bank Transfer,No
Male,0,Yes,Yes,54,1700,91800,Two year,Debit Card,No
Female,0,No,No,10,850,8500,Month-to-month,Credit Card,Yes
Male,1,Yes,No,40,1350,54000,One year,UPI,No
Female,0,Yes,Yes,65,1900,123500,Two year,Bank Transfer,No
Male,0,No,No,7,750,5250,Month-to-month,Debit Card,Yes
Female,1,Yes,No,28,1150,32200,One year,Credit Card,No
Male,0,Yes,Yes,50,1650,82500,Two year,UPI,No
Female,0,No,No,9,950,8550,Month-to-month,Bank Transfer,Yes
Male,0,Yes,No,18,1050,18900,One year,Credit Card,No
Female,1,No,Yes,4,700,2800,Month-to-month,UPI,Yes
Male,0,Yes,Yes,62,1750,108500,Two year,Debit Card,No
Female,0,No,No,13,900,11700,Month-to-month,Credit Card,Yes
Male,1,Yes,No,44,1450,63800,One year,Bank Transfer,No
Female,0,Yes,Yes,68,1950,132600,Two year,UPI,No
Male,0,No,No,6,650,3900,Month-to-month,Debit Card,Yes
Female,1,Yes,No,33,1200,39600,One year,Credit Card,No
Male,0,Yes,Yes,56,1800,100800,Two year,Bank Transfer,No
Female,0,No,No,11,850,9350,Month-to-month,UPI,Yes
Male,1,Yes,No,42,1500,63000,One year,Debit Card,No
Female,0,Yes,Yes,70,2000,140000,Two year,Credit Card,No
Male,0,No,No,3,500,1500,Month-to-month,Bank Transfer,Yes
Female,1,Yes,No,27,1100,29700,One year,UPI,No
Male,0,Yes,Yes,58,1700,98600,Two year,Debit Card,No
Female,0,No,No,8,800,6400,Month-to-month,Credit Card,Yes
Male,1,Yes,No,46,1550,71300,One year,Bank Transfer,No
Female,0,Yes,Yes,64,1850,118400,Two year,UPI,No
Male,0,No,No,5,700,3500,Month-to-month,Debit Card,Yes
Female,1,Yes,No,35,1250,43750,One year,Credit Card,No
Male,0,Yes,Yes,52,1750,91000,Two year,Bank Transfer,No
